Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:00 am,20.5,22.8,84,N,2 1,7 4,1014.4,0.0,2025-10-21
5:30 am,18.7,21.3,93,CALM,0 0,0 0,1014.2,0.0,2025-10-21
5:00 am,18.7,21.1,90,CALM,0 0,0 0,1014.0,0.0,2025-10-21
4:30 am,18.8,21.2,90,CALM,0 0,2 1,1013.5,0.0,2025-10-21
4:00 am,19.0,21.4,89,CALM,0 0,2 1,1013.5,0.0,2025-10-21
3:30 am,18.9,21.3,89,CALM,0 0,0 0,1013.5,0.0,2025-10-21
3:00 am,19.6,22.2,87,CALM,0 0,0 0,1013.7,0.0,2025-10-21
2:30 am,20.3,22.5,84,NW,2 1,6 3,1013.9,0.0,2025-10-21
2:00 am,20.3,22.5,84,NNW,2 1,6 3,1013.8,0.0,2025-10-21
1:30 am,20.8,22.3,82,NNW,6 3,9 5,1014.1,0.0,2025-10-21
1:00 am,20.9,22.4,82,NW,6 3,9 5,1014.4,0.0,2025-10-21
12:30 am,21.3,23.3,81,NNW,4 2,7 4,1014.7,0.0,2025-10-21
12:00 am,21.5,23.5,80,N,4 2,13 7,1014.9,0.0,2025-10-21
