Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:00 am,16.6,15.9,71,SW,6 3,13 7,1025.3,0.0,2023-10-18
5:30 am,15.9,15.1,73,SW,6 3,9 5,1025.3,0.0,2023-10-18
5:00 am,15.9,15.1,72,SSW,6 3,11 6,1025.0,0.0,2023-10-18
4:30 am,15.8,15.3,71,SSW,4 2,7 4,1024.7,0.0,2023-10-18
4:00 am,16.0,15.4,70,SSW,4 2,6 3,1024.4,0.0,2023-10-18
3:30 am,16.3,15.4,69,SW,6 3,9 5,1024.2,0.0,2023-10-18
3:00 am,16.5,15.5,67,SW,6 3,9 5,1024.1,0.0,2023-10-18
2:30 am,16.7,16.1,67,SW,4 2,9 5,1024.0,0.0,2023-10-18
2:00 am,17.1,16.6,66,SSW,4 2,9 5,1024.1,0.0,2023-10-18
1:30 am,17.1,16.6,67,SSW,4 2,7 4,1024.2,0.0,2023-10-18
1:00 am,17.6,17.2,66,S,4 2,7 4,1024.3,0.0,2023-10-18
12:30 am,18.1,17.3,64,S,6 3,9 5,1024.4,0.0,2023-10-18
12:00 am,18.4,17.6,63,SSE,6 3,9 5,1024.7,0.0,2023-10-18
11:30 pm,18.6,17.9,63,SSE,6 3,9 5,1024.9,0.0,2023-10-17
11:00 pm,18.8,18.1,62,SE,6 3,17 9,1024.9,0.0,2023-10-17
10:30 pm,18.6,18.3,63,SSE,4 2,9 5,1024.9,0.0,2023-10-17
10:00 pm,19.1,18.2,61,SE,7 4,13 7,1024.9,0.0,2023-10-17
9:30 pm,19.4,18.1,59,SE,9 5,19 10,1024.8,0.0,2023-10-17
9:00 pm,19.6,18.2,57,SE,9 5,20 11,1024.7,0.0,2023-10-17
8:30 pm,19.8,18.4,56,SE,9 5,20 11,1024.2,0.0,2023-10-17
8:00 pm,20.1,17.4,54,SE,15 8,32 17,1023.9,0.0,2023-10-17
7:30 pm,20.1,18.7,55,SE,9 5,19 10,1023.4,0.0,2023-10-17
7:00 pm,20.4,18.6,54,SE,11 6,28 15,1023.0,0.0,2023-10-17
6:30 pm,20.7,18.5,53,SE,13 7,26 14,1022.4,0.0,2023-10-17
6:00 pm,21.1,18.7,49,ESE,13 7,26 14,1021.8,0.0,2023-10-17
5:30 pm,21.9,19.5,47,ESE,13 7,24 13,1021.2,0.0,2023-10-17
5:00 pm,22.5,19.2,44,ESE,17 9,28 15,1020.8,0.0,2023-10-17
4:30 pm,23.4,20.0,36,ESE,15 8,28 15,1020.3,0.0,2023-10-17
4:00 pm,24.2,21.1,34,ESE,13 7,28 15,1020.1,0.0,2023-10-17
3:30 pm,24.6,20.5,31,E,17 9,28 15,1019.7,0.0,2023-10-17
3:00 pm,24.5,21.0,33,E,15 8,30 16,1019.8,0.0,2023-10-17
2:30 pm,24.8,20.8,31,E,17 9,28 15,1019.5,0.0,2023-10-17
2:00 pm,24.9,21.0,32,E,17 9,30 16,1019.2,0.0,2023-10-17
1:30 pm,25.5,22.6,33,E,13 7,20 11,1019.4,0.0,2023-10-17
1:00 pm,25.7,23.7,34,ENE,9 5,17 9,1019.4,0.0,2023-10-17
12:30 pm,25.4,22.7,35,ENE,13 7,22 12,1019.4,0.0,2023-10-17
12:00 pm,24.6,23.3,38,E,6 3,13 7,1019.5,0.0,2023-10-17
11:30 am,24.7,23.6,39,E,6 3,11 6,1019.7,0.0,2023-10-17
11:00 am,24.6,23.9,40,E,4 2,6 3,1020.0,0.0,2023-10-17
10:30 am,23.9,22.9,42,WNW,6 3,9 5,1020.2,0.0,2023-10-17
10:00 am,24.1,23.4,45,ENE,6 3,11 6,1020.2,0.0,2023-10-17
9:30 am,22.9,21.8,44,S,6 3,11 6,1020.6,0.0,2023-10-17
9:00 am,23.7,22.6,42,SSW,6 3,19 10,1020.4,0.0,2023-10-17
8:30 am,23.7,22.6,44,SSE,7 4,22 12,1020.2,0.0,2023-10-17
8:00 am,22.5,21.8,49,S,6 3,13 7,1020.3,0.0,2023-10-17
7:30 am,21.6,20.7,52,SSW,7 4,13 7,1020.2,0.0,2023-10-17
7:00 am,20.5,19.6,55,S,7 4,15 8,1019.7,0.0,2023-10-17
6:30 am,19.9,19.4,56,SSW,4 2,7 4,1019.5,0.0,2023-10-17
6:00 am,19.4,18.3,57,SSE,7 4,13 7,1019.2,0.0,2023-10-17
5:30 am,18.8,17.6,58,SSE,7 4,17 9,1018.9,0.0,2023-10-17
5:00 am,19.1,16.8,58,SE,13 7,26 14,1018.5,0.0,2023-10-17
4:30 am,18.8,17.8,61,SE,7 4,15 8,1017.9,0.0,2023-10-17
4:00 am,19.1,18.0,63,SE,9 5,17 9,1017.5,0.0,2023-10-17
3:30 am,19.1,18.0,63,ESE,9 5,19 10,1017.2,0.0,2023-10-17
3:00 am,19.3,18.8,66,SE,7 4,20 11,1016.8,0.0,2023-10-17
2:30 am,19.8,18.8,66,ESE,11 6,26 14,1016.1,0.0,2023-10-17
2:00 am,20.0,20.2,72,ESE,7 4,17 9,1015.7,0.0,2023-10-17
1:30 am,20.3,20.8,74,ESE,7 4,15 8,1015.3,0.0,2023-10-17
1:00 am,21.1,22.2,83,ESE,9 5,24 13,1015.1,0.0,2023-10-17
12:30 am,20.9,23.3,87,SW,4 2,9 5,1014.3,0.0,2023-10-17
12:00 am,21.0,23.3,86,WSW,4 2,7 4,1014.0,0.0,2023-10-17
11:30 pm,21.1,23.5,87,SW,4 2,7 4,1014.2,0.0,2023-10-16
11:00 pm,20.5,23.2,84,CALM,0 0,4 2,1014.0,0.0,2023-10-16
10:30 pm,21.1,23.5,82,SSE,2 1,4 2,1013.7,0.0,2023-10-16
10:00 pm,21.9,24.6,77,CALM,0 0,2 1,1013.0,0.0,2023-10-16
9:30 pm,22.6,24.6,75,N,4 2,6 3,1012.8,0.0,2023-10-16
9:00 pm,23.2,25.4,74,NNE,4 2,9 5,1012.0,0.0,2023-10-16
8:30 pm,23.6,25.4,72,N,6 3,15 8,1011.7,0.0,2023-10-16
8:00 pm,23.8,25.8,73,NNW,6 3,15 8,1011.7,0.0,2023-10-16
7:30 pm,23.8,26.0,75,N,6 3,9 5,1011.1,0.0,2023-10-16
7:00 pm,24.0,26.2,75,NNE,6 3,13 7,1010.9,0.0,2023-10-16
6:30 pm,24.1,26.2,75,NE,7 4,13 7,1010.7,0.0,2023-10-16
6:00 pm,24.2,26.0,75,NNE,9 5,20 11,1010.8,0.0,2023-10-16
5:30 pm,24.9,27.1,72,ENE,7 4,15 8,1010.7,0.0,2023-10-16
5:00 pm,24.9,26.2,71,ENE,11 6,19 10,1010.7,0.0,2023-10-16
4:30 pm,25.5,27.7,68,E,6 3,15 8,1011.0,0.0,2023-10-16
4:00 pm,26.1,27.3,65,NNE,11 6,28 15,1010.1,0.0,2023-10-16
3:30 pm,26.7,27.5,63,NNE,13 7,28 15,1010.1,0.0,2023-10-16
3:00 pm,26.6,26.7,64,NNE,17 9,30 16,1010.6,0.0,2023-10-16
2:30 pm,26.4,27.0,62,NNE,13 7,24 13,1011.0,0.0,2023-10-16
2:00 pm,27.4,27.5,58,NNE,15 8,30 16,1011.5,0.0,2023-10-16
1:30 pm,28.7,29.9,56,NE,11 6,22 12,1012.1,0.0,2023-10-16
1:00 pm,28.8,29.1,52,NNE,13 7,20 11,1012.6,0.0,2023-10-16
12:30 pm,28.8,29.5,52,NE,11 6,20 11,1013.0,0.0,2023-10-16
12:00 pm,28.2,28.5,54,ENE,13 7,24 13,1013.5,0.0,2023-10-16
11:30 am,29.8,30.1,45,NE,11 6,19 10,1013.8,0.0,2023-10-16
11:00 am,30.3,30.9,40,NE,6 3,11 6,1014.3,0.0,2023-10-16
10:30 am,28.4,28.6,43,E,7 4,11 6,1015.0,0.0,2023-10-16
10:00 am,28.4,29.0,45,NW,6 3,13 7,1015.5,0.0,2023-10-16
9:30 am,27.8,28.7,46,NW,4 2,9 5,1016.0,0.0,2023-10-16
9:00 am,26.9,28.0,50,NW,4 2,13 7,1016.4,0.0,2023-10-16
8:30 am,25.6,26.9,56,NW,4 2,9 5,1016.5,0.0,2023-10-16
8:00 am,24.0,24.9,61,WNW,6 3,9 5,1016.6,0.0,2023-10-16
7:30 am,23.2,25.0,66,NE,2 1,6 3,1016.7,0.0,2023-10-16
7:00 am,22.4,24.3,70,ENE,2 1,4 2,1016.6,0.0,2023-10-16
6:30 am,20.8,22.3,77,W,4 2,6 3,1016.8,0.0,2023-10-16
6:00 am,19.9,22.3,84,CALM,0 0,4 2,1016.6,0.0,2023-10-16
5:30 am,19.2,20.8,86,NNW,4 2,9 5,1016.1,0.0,2023-10-16
5:00 am,19.6,20.9,85,NNW,6 3,17 9,1016.0,0.0,2023-10-16
4:30 am,19.4,21.3,84,NNE,2 1,7 4,1015.6,0.0,2023-10-16
4:00 am,19.6,21.1,83,NNE,4 2,9 5,1015.5,0.0,2023-10-16
3:30 am,19.8,21.3,82,NNE,4 2,9 5,1015.3,0.0,2023-10-16
