Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:00 am,17.1,14.8,47,WNW,7 4,–,1014.2,0.0,2025-09-26
5:30 am,17.2,13.1,48,WNW,17 9,–,1013.8,0.0,2025-09-26
5:00 am,17.3,12.8,47,WNW,19 10,–,1013.7,0.0,2025-09-26
4:30 am,17.5,13.1,48,W,19 10,–,1013.3,0.0,2025-09-26
4:00 am,18.0,13.5,46,WNW,19 10,–,1013.2,0.0,2025-09-26
3:30 am,18.5,14.0,44,WNW,19 10,–,1013.1,0.0,2025-09-26
3:00 am,19.1,14.0,43,NW,22 12,–,1013.1,0.0,2025-09-26
2:30 am,19.4,14.0,42,NW,24 13,–,1012.7,0.0,2025-09-26
2:00 am,18.9,16.0,45,W,11 6,–,1013.0,0.0,2025-09-26
1:30 am,19.1,15.2,45,WNW,17 9,–,1013.2,0.0,2025-09-26
1:00 am,19.2,15.7,46,NW,15 8,–,1013.5,0.0,2025-09-26
12:30 am,19.0,15.5,47,WNW,15 8,–,1013.7,0.0,2025-09-26
12:00 am,19.1,15.7,47,WNW,15 8,–,1014.0,0.0,2025-09-26
11:30 pm,19.1,16.4,46,WNW,11 6,–,1013.9,0.0,2025-09-25
11:00 pm,19.1,15.8,43,WNW,13 7,–,1014.0,0.0,2025-09-25
10:30 pm,19.5,16.3,39,NW,11 6,–,1014.2,0.0,2025-09-25
10:00 pm,19.4,16.7,40,WNW,9 5,–,1014.3,0.0,2025-09-25
9:30 pm,19.9,17.5,38,NW,7 4,–,1014.2,0.0,2025-09-25
9:00 pm,20.4,17.5,36,WNW,9 5,–,1014.3,0.0,2025-09-25
8:30 pm,20.4,17.5,36,WNW,9 5,–,1014.4,0.0,2025-09-25
8:00 pm,20.3,17.5,37,NW,9 5,–,1014.2,0.0,2025-09-25
7:30 pm,20.8,17.2,36,NW,13 7,–,1014.0,0.0,2025-09-25
7:00 pm,21.1,16.6,33,WNW,17 9,–,1013.9,0.0,2025-09-25
6:30 pm,21.7,16.6,32,NW,20 11,–,1013.6,0.0,2025-09-25
6:00 pm,22.8,16.8,24,W,22 12,–,1013.1,0.0,2025-09-25
5:30 pm,23.6,17.0,20,W,24 13,–,1012.5,0.0,2025-09-25
5:00 pm,23.9,16.2,20,WSW,30 16,–,1012.2,0.0,2025-09-25
