Time (ACDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:30 am,10.7,8.3,69,ESE,7 4,9 5,1025.8,0.0,2023-10-09
6:00 am,10.4,9.4,71,CALM,0 0,0 0,1025.6,0.0,2023-10-09
5:30 am,9.5,8.4,74,CALM,0 0,0 0,1025.3,0.0,2023-10-09
5:00 am,9.5,8.5,77,CALM,0 0,6 3,1025.1,0.0,2023-10-09
4:30 am,9.7,8.6,72,CALM,0 0,0 0,1025.0,0.0,2023-10-09
4:00 am,10.6,8.3,67,ESE,6 3,7 4,1024.9,0.0,2023-10-09
3:30 am,9.8,7.9,72,S,4 2,7 4,1025.1,0.0,2023-10-09
3:00 am,9.7,7.8,73,SSW,4 2,7 4,1025.2,0.0,2023-10-09
2:30 am,10.4,9.2,67,CALM,0 0,6 3,1025.4,0.0,2023-10-09
2:00 am,11.7,10.2,63,ENE,2 1,11 6,1025.5,0.0,2023-10-09
1:30 am,11.6,10.3,60,CALM,0 0,0 0,1025.8,0.0,2023-10-09
1:00 am,13.5,11.3,51,ESE,4 2,13 7,1026.0,0.0,2023-10-09
12:30 am,15.1,11.2,46,ESE,13 7,20 11,1026.1,0.0,2023-10-09
12:00 am,14.6,11.2,49,ESE,11 6,15 8,1026.3,0.0,2023-10-09
11:30 pm,14.9,10.8,49,E,15 8,24 13,1026.3,0.0,2023-10-08
11:00 pm,12.4,10.4,58,WNW,4 2,7 4,1026.8,0.0,2023-10-08
10:30 pm,13.0,11.3,55,SE,2 1,7 4,1026.9,0.0,2023-10-08
10:00 pm,12.9,11.1,60,SE,4 2,9 5,1027.0,0.0,2023-10-08
9:30 pm,12.4,11.5,66,CALM,0 0,0 0,1027.0,0.0,2023-10-08
9:00 pm,14.2,13.0,59,SSW,2 1,7 4,1026.8,0.0,2023-10-08
8:30 pm,15.5,13.4,56,S,7 4,11 6,1026.8,0.0,2023-10-08
8:00 pm,16.2,13.8,54,SE,9 5,15 8,1026.4,0.0,2023-10-08
7:30 pm,17.3,14.3,48,SE,11 6,19 10,1026.4,0.0,2023-10-08
7:00 pm,17.5,15.2,52,SW,9 5,13 7,1026.1,0.0,2023-10-08
6:30 pm,18.2,15.1,43,SSW,11 6,19 10,1026.0,0.0,2023-10-08
6:00 pm,18.7,14.8,36,SW,13 7,26 14,1026.1,0.0,2023-10-08
