Time (ACST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
5:30 pm,14.1,12.0,57,SSW,6 3,7 4,1032.2,0.0,2024-07-31
5:00 pm,16.0,13.3,50,SSW,9 5,13 7,1032.1,0.0,2024-07-31
4:30 pm,17.3,15.0,47,W,7 4,11 6,1032.1,0.0,2024-07-31
4:00 pm,17.8,14.7,44,W,11 6,17 9,1032.1,0.0,2024-07-31
3:30 pm,18.7,16.7,46,NW,7 4,15 8,1032.1,0.0,2024-07-31
3:00 pm,18.0,15.6,43,NNW,7 4,11 6,1032.3,0.0,2024-07-31
2:30 pm,18.5,16.8,44,NNW,4 2,11 6,1032.4,0.0,2024-07-31
2:00 pm,18.6,15.2,43,NW,13 7,17 9,1032.6,0.0,2024-07-31
1:30 pm,18.4,15.4,44,NW,11 6,19 10,1032.8,0.0,2024-07-31
1:00 pm,17.7,15.2,42,NNW,7 4,13 7,1033.3,0.0,2024-07-31
12:30 pm,17.5,15.3,53,NW,9 5,17 9,1033.9,0.0,2024-07-31
12:00 pm,16.8,14.4,52,NNW,9 5,15 8,1034.5,0.0,2024-07-31
11:30 am,16.1,13.2,53,NNW,11 6,17 9,1035.1,0.0,2024-07-31
11:00 am,15.5,12.9,54,NNW,9 5,13 7,1035.3,0.0,2024-07-31
10:30 am,14.7,12.1,57,NNW,9 5,15 8,1035.5,0.0,2024-07-31
10:00 am,13.7,11.3,57,NNW,7 4,11 6,1035.6,0.0,2024-07-31
9:30 am,12.6,10.2,61,NNW,7 4,9 5,1035.5,0.0,2024-07-31
9:00 am,11.4,10.3,65,CALM,0 0,6 3,1035.6,0.0,2024-07-31
8:30 am,9.3,6.9,72,N,6 3,7 4,1035.4,0.0,2024-07-31
8:00 am,7.0,4.4,83,N,7 4,7 4,1035.1,0.0,2024-07-31
7:30 am,5.0,2.2,87,N,7 4,7 4,1034.8,0.0,2024-07-31
7:00 am,5.2,2.3,82,N,7 4,9 5,1034.4,0.0,2024-07-31
6:30 am,7.0,3.4,74,NNE,11 6,17 9,1033.9,0.0,2024-07-31
6:00 am,9.8,6.6,63,NE,9 5,15 8,1033.5,0.0,2024-07-31
5:30 am,10.3,6.4,62,NE,13 7,20 11,1033.4,0.0,2024-07-31
5:00 am,6.5,3.3,77,NNE,9 5,13 7,1033.2,0.0,2024-07-31
4:30 am,6.6,3.6,72,NNE,7 4,15 8,1033.0,0.0,2024-07-31
4:00 am,9.2,5.2,64,NE,13 7,20 11,1033.0,0.0,2024-07-31
3:30 am,10.8,7.2,59,NE,11 6,17 9,1032.8,0.0,2024-07-31
3:00 am,7.1,4.3,75,NNE,7 4,11 6,1032.9,0.0,2024-07-31
2:30 am,8.7,5.8,66,NNE,7 4,11 6,1033.0,0.0,2024-07-31
2:00 am,10.0,6.0,61,NE,13 7,17 9,1033.0,0.0,2024-07-31
1:30 am,10.5,7.2,58,NE,9 5,15 8,1033.2,0.0,2024-07-31
1:00 am,10.7,7.5,58,NE,9 5,13 7,1033.3,0.0,2024-07-31
12:30 am,10.2,6.6,60,NE,11 6,17 9,1033.4,0.0,2024-07-31
12:00 am,9.0,6.4,66,NE,6 3,7 4,1033.5,0.0,2024-07-31
11:30 pm,8.8,6.0,67,NE,7 4,9 5,1033.4,0.0,2024-07-30
11:00 pm,9.8,6.6,62,ENE,9 5,13 7,1033.5,0.0,2024-07-30
10:30 pm,8.8,6.1,71,NE,7 4,9 5,1033.7,0.0,2024-07-30
10:00 pm,6.5,5.1,83,CALM,0 0,0 0,1033.8,0.0,2024-07-30
9:30 pm,7.1,5.7,79,CALM,0 0,6 3,1033.9,0.0,2024-07-30
9:00 pm,7.8,5.7,76,ENE,4 2,7 4,1033.9,0.0,2024-07-30
8:30 pm,7.6,6.3,78,CALM,0 0,6 3,1033.7,0.0,2024-07-30
8:00 pm,8.7,7.4,73,CALM,0 0,0 0,1033.7,0.0,2024-07-30
7:30 pm,8.5,7.2,73,CALM,0 0,0 0,1033.6,0.0,2024-07-30
7:00 pm,9.0,6.4,67,SE,6 3,9 5,1033.4,0.0,2024-07-30
6:30 pm,9.9,8.2,58,CALM,0 0,0 0,1033.3,0.0,2024-07-30
6:00 pm,10.6,8.5,55,S,2 1,6 3,1033.0,0.0,2024-07-30
5:30 pm,11.3,8.8,59,SSW,6 3,7 4,1032.8,0.0,2024-07-30
5:00 pm,13.3,10.7,51,WSW,6 3,7 4,1032.7,0.0,2024-07-30
4:30 pm,15.3,12.6,45,WSW,7 4,9 5,1032.4,0.0,2024-07-30
4:00 pm,15.7,13.1,46,WNW,7 4,11 6,1032.4,0.0,2024-07-30
3:30 pm,15.7,13.1,47,W,7 4,15 8,1032.3,0.0,2024-07-30
3:00 pm,15.6,12.5,51,WSW,11 6,19 10,1032.4,0.0,2024-07-30
2:30 pm,16.5,13.8,49,W,9 5,15 8,1032.5,0.0,2024-07-30
2:00 pm,16.7,12.8,41,NNW,13 7,19 10,1032.6,0.0,2024-07-30
1:30 pm,16.2,11.9,42,N,15 8,24 13,1032.8,0.0,2024-07-30
1:00 pm,15.9,12.3,49,NNW,13 7,20 11,1033.3,0.0,2024-07-30
