Time (ACDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:30 pm,22.2,19.2,44,S,15 8,28 15,1011.3,0.0,2025-01-23
6:00 pm,22.2,18.3,42,S,19 10,39 21,1011.0,0.0,2025-01-23
5:30 pm,22.5,17.9,44,SW,24 13,41 22,1010.9,0.0,2025-01-23
5:00 pm,23.0,18.3,42,SW,24 13,37 20,1010.9,0.0,2025-01-23
4:30 pm,22.0,17.6,43,SW,22 12,32 17,1011.1,0.0,2025-01-23
4:00 pm,22.5,18.2,39,SW,20 11,33 18,1011.0,0.0,2025-01-23
3:30 pm,21.5,18.6,47,S,15 8,28 15,1011.1,0.0,2025-01-23
3:00 pm,22.5,21.0,47,S,9 5,15 8,1010.9,0.0,2025-01-23
2:30 pm,22.4,21.0,48,SSE,9 5,17 9,1010.8,0.0,2025-01-23
2:00 pm,21.4,19.1,49,S,13 7,22 12,1011.2,0.0,2025-01-23
1:30 pm,22.3,20.1,44,SSE,11 6,20 11,1010.8,0.0,2025-01-23
1:00 pm,22.1,19.4,47,SSW,15 8,30 16,1011.1,0.0,2025-01-23
12:30 pm,22.0,19.5,54,SW,17 9,26 14,1011.7,0.0,2025-01-23
12:00 pm,23.2,22.1,57,SW,13 7,19 10,1011.3,0.0,2025-01-23
11:30 am,22.7,21.5,49,WSW,9 5,15 8,1011.2,0.0,2025-01-23
11:00 am,22.3,20.5,44,SW,9 5,15 8,1011.1,0.0,2025-01-23
10:30 am,23.2,22.2,46,WSW,7 4,15 8,1011.3,0.0,2025-01-23
10:00 am,21.5,20.5,51,W,7 4,11 6,1011.2,0.0,2025-01-23
9:30 am,20.4,20.8,56,CALM,0 0,6 3,1010.7,0.0,2025-01-23
9:00 am,19.8,19.7,56,S,2 1,7 4,1010.9,0.0,2025-01-23
8:30 am,19.2,19.6,60,CALM,0 0,0 0,1010.7,0.0,2025-01-23
8:00 am,18.0,18.3,63,CALM,0 0,0 0,1010.8,0.0,2025-01-23
7:30 am,16.5,17.0,73,CALM,0 0,0 0,1010.5,0.0,2025-01-23
