Time (ACDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:30 pm,25.5,23.4,48,SSE,17 9,28 15,1008.3,0.0,2025-02-09
6:00 pm,26.3,23.8,42,SE,17 9,28 15,1008.1,0.0,2025-02-09
5:30 pm,27.5,25.4,39,SE,15 8,24 13,1007.9,0.0,2025-02-09
5:00 pm,28.6,26.4,36,SE,15 8,24 13,1007.9,0.0,2025-02-09
4:30 pm,28.1,25.3,35,SE,17 9,24 13,1007.8,0.0,2025-02-09
4:00 pm,28.9,27.0,35,ESE,13 7,20 11,1007.9,0.0,2025-02-09
3:30 pm,28.5,25.9,33,SE,15 8,26 14,1008.1,0.0,2025-02-09
3:00 pm,28.9,26.6,32,SE,13 7,20 11,1008.4,0.0,2025-02-09
2:30 pm,28.5,26.1,32,SSE,13 7,20 11,1008.7,0.0,2025-02-09
2:00 pm,28.4,26.5,33,S,11 6,17 9,1009.1,0.0,2025-02-09
1:30 pm,27.5,26.6,35,E,6 3,11 6,1009.5,0.0,2025-02-09
1:00 pm,27.1,25.7,36,SSW,9 5,19 10,1009.8,0.0,2025-02-09
12:30 pm,26.5,25.9,40,ENE,6 3,13 7,1010.3,0.0,2025-02-09
12:00 pm,26.0,24.8,41,SE,9 5,19 10,1010.8,0.0,2025-02-09
11:30 am,24.6,23.2,46,SE,11 6,22 12,1011.2,0.0,2025-02-09
11:00 am,24.1,22.7,51,ESE,13 7,20 11,1011.5,0.0,2025-02-09
10:30 am,22.6,20.7,55,ESE,15 8,20 11,1011.8,0.0,2025-02-09
10:00 am,21.9,19.7,58,ESE,17 9,26 14,1012.1,0.0,2025-02-09
9:30 am,21.2,19.3,59,ESE,15 8,24 13,1012.1,0.0,2025-02-09
9:00 am,20.1,19.4,60,ESE,7 4,15 8,1012.0,0.0,2025-02-09
8:30 am,19.0,16.9,66,ESE,15 8,20 11,1011.7,0.0,2025-02-09
8:00 am,18.8,18.3,68,ESE,7 4,13 7,1011.7,0.0,2025-02-09
7:30 am,17.5,16.8,70,E,7 4,13 7,1011.3,0.0,2025-02-09
7:00 am,16.2,15.4,75,E,7 4,15 8,1011.0,0.0,2025-02-09
6:30 am,16.1,16.5,73,CALM,0 0,7 4,1010.8,0.0,2025-02-09
6:00 am,16.4,14.3,72,E,13 7,19 10,1010.1,0.0,2025-02-09
5:30 am,16.7,14.6,69,ESE,13 7,26 14,1010.3,0.0,2025-02-09
5:00 am,16.9,13.8,65,ESE,17 9,30 16,1010.0,0.0,2025-02-09
4:30 am,17.1,14.3,63,SE,15 8,26 14,1009.9,0.0,2025-02-09
4:00 am,17.1,13.9,63,ESE,17 9,28 15,1009.9,0.0,2025-02-09
3:30 am,17.1,13.5,63,SE,19 10,30 16,1009.9,0.0,2025-02-09
3:00 am,17.3,13.7,62,SE,19 10,30 16,1010.0,0.0,2025-02-09
2:30 am,17.4,14.1,65,SE,19 10,35 19,1010.0,0.0,2025-02-09
2:00 am,17.5,13.7,67,SE,22 12,33 18,1010.1,0.0,2025-02-09
1:30 am,17.5,13.4,68,SE,24 13,46 25,1010.1,0.0,2025-02-09
1:00 am,17.6,13.5,68,ESE,24 13,35 19,1010.6,0.0,2025-02-09
12:30 am,17.6,14.3,68,SE,20 11,35 19,1010.8,0.0,2025-02-09
12:00 am,17.7,14.7,69,ESE,19 10,37 20,1010.8,0.0,2025-02-09
11:30 pm,17.6,15.3,69,SE,15 8,24 13,1011.1,0.0,2025-02-08
11:00 pm,17.5,16.0,69,SE,11 6,20 11,1011.5,0.0,2025-02-08
10:30 pm,17.6,15.6,68,SE,13 7,20 11,1011.8,0.0,2025-02-08
10:00 pm,17.7,15.8,68,SSE,13 7,24 13,1011.8,0.0,2025-02-08
9:30 pm,17.8,16.2,66,SSE,11 6,22 12,1011.6,0.0,2025-02-08
9:00 pm,18.0,15.8,63,SSE,13 7,24 13,1011.1,0.0,2025-02-08
8:30 pm,18.7,16.5,60,SSE,13 7,20 11,1010.8,0.0,2025-02-08
8:00 pm,19.5,16.4,55,SSE,17 9,35 19,1010.9,0.0,2025-02-08
7:30 pm,21.0,17.8,49,S,17 9,32 17,1010.6,0.0,2025-02-08
7:00 pm,21.8,18.5,46,SSE,17 9,28 15,1010.0,0.0,2025-02-08
6:30 pm,22.6,18.8,44,SSE,20 11,32 17,1009.8,0.0,2025-02-08
6:00 pm,23.8,20.2,41,S,19 10,30 16,1009.8,0.0,2025-02-08
5:30 pm,24.8,21.7,40,S,17 9,26 14,1009.5,0.0,2025-02-08
5:00 pm,25.1,21.6,39,SE,19 10,26 14,1009.5,0.0,2025-02-08
4:30 pm,25.4,22.2,38,SSE,17 9,28 15,1009.4,0.0,2025-02-08
4:00 pm,26.1,23.0,37,SE,17 9,24 13,1009.4,0.0,2025-02-08
3:30 pm,25.9,23.4,39,SSE,15 8,24 13,1009.6,0.0,2025-02-08
3:00 pm,26.2,23.8,40,SSE,15 8,26 14,1009.9,0.0,2025-02-08
2:30 pm,25.3,21.7,38,SE,19 10,28 15,1010.4,0.0,2025-02-08
2:00 pm,25.9,23.0,39,SE,17 9,30 16,1010.9,0.0,2025-02-08
1:30 pm,25.5,22.8,39,SE,15 8,24 13,1011.3,0.0,2025-02-08
1:00 pm,25.2,22.4,42,SE,17 9,32 17,1011.8,0.0,2025-02-08
12:30 pm,24.4,21.6,44,SE,17 9,28 15,1012.0,0.0,2025-02-08
12:00 pm,23.9,20.4,44,ESE,20 11,33 18,1012.1,0.0,2025-02-08
11:30 am,23.6,20.9,43,SE,15 8,30 16,1012.3,0.0,2025-02-08
11:00 am,22.4,19.3,46,SE,17 9,32 17,1012.4,0.0,2025-02-08
