Time (ACDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:30 am,29.5,26.2,26,NE,15 8,20 11,1004.7,0.0,2025-02-12
6:00 am,30.0,26.3,25,NE,17 9,22 12,1004.6,0.0,2025-02-12
5:30 am,30.0,26.7,23,NE,13 7,19 10,1004.5,0.0,2025-02-12
5:00 am,29.8,26.7,24,NE,13 7,22 12,1004.5,0.0,2025-02-12
4:30 am,29.9,26.8,24,NE,13 7,20 11,1004.7,0.0,2025-02-12
4:00 am,30.7,27.4,22,NE,13 7,20 11,1004.7,0.0,2025-02-12
3:30 am,30.3,27.1,23,NE,13 7,20 11,1004.8,0.0,2025-02-12
3:00 am,30.7,27.7,21,ENE,11 6,17 9,1005.0,0.0,2025-02-12
2:30 am,29.5,27.6,25,NNE,7 4,13 7,1005.3,0.0,2025-02-12
2:00 am,30.9,28.4,22,ENE,9 5,13 7,1005.4,0.0,2025-02-12
1:30 am,31.5,28.5,23,ENE,13 7,22 12,1005.3,0.0,2025-02-12
1:00 am,31.5,29.1,24,ENE,11 6,19 10,1005.8,0.0,2025-02-12
12:30 am,31.8,29.4,24,ENE,11 6,15 8,1006.1,0.0,2025-02-12
12:00 am,32.1,29.6,25,E,13 7,22 12,1006.3,0.0,2025-02-12
11:30 pm,30.6,29.1,29,E,9 5,15 8,1006.6,0.0,2025-02-11
11:00 pm,28.9,28.2,34,ENE,6 3,9 5,1006.9,0.0,2025-02-11
10:30 pm,30.3,29.8,34,ENE,7 4,17 9,1006.6,0.0,2025-02-11
10:00 pm,32.7,30.7,25,E,11 6,20 11,1006.3,0.0,2025-02-11
9:30 pm,32.5,30.8,25,ENE,9 5,15 8,1006.1,0.0,2025-02-11
9:00 pm,31.5,30.4,28,ENE,7 4,17 9,1006.0,0.0,2025-02-11
8:30 pm,30.5,30.5,28,CALM,0 0,0 0,1005.8,0.0,2025-02-11
8:00 pm,33.1,31.6,22,SW,6 3,9 5,1005.7,0.0,2025-02-11
7:30 pm,35.2,33.8,20,W,6 3,9 5,1005.4,0.0,2025-02-11
7:00 pm,36.1,34.3,18,W,7 4,11 6,1005.1,0.0,2025-02-11
6:30 pm,36.2,34.1,18,SW,9 5,15 8,1005.2,0.0,2025-02-11
6:00 pm,35.8,32.1,18,WSW,17 9,26 14,1005.6,0.0,2025-02-11
5:30 pm,37.3,33.4,16,WSW,17 9,24 13,1005.2,0.0,2025-02-11
5:00 pm,37.2,33.9,15,SW,13 7,22 12,1005.1,0.0,2025-02-11
4:30 pm,37.7,34.9,17,SSW,13 7,20 11,1005.3,0.0,2025-02-11
4:00 pm,37.5,33.8,15,SW,15 8,24 13,1005.6,0.0,2025-02-11
