Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:00 am,10.2,8.7,79,WNW,4 2,9 5,1020.8,0.0,2024-06-05
5:30 am,10.0,8.9,80,SW,2 1,7 4,1020.6,0.0,2024-06-05
5:00 am,9.7,9.0,83,CALM,0 0,6 3,1020.5,0.0,2024-06-05
4:30 am,9.6,8.8,81,CALM,0 0,0 0,1020.3,0.0,2024-06-05
4:00 am,10.1,8.9,77,NW,2 1,9 5,1020.1,0.0,2024-06-05
3:30 am,10.4,8.4,75,WSW,6 3,11 6,1020.0,0.0,2024-06-05
3:00 am,9.3,7.9,87,SW,4 2,7 4,1019.9,0.0,2024-06-05
2:30 am,9.1,8.4,86,CALM,0 0,0 0,1019.9,0.0,2024-06-05
2:00 am,9.2,7.1,84,NE,7 4,13 7,1020.0,0.0,2024-06-05
1:30 am,9.2,8.2,87,NE,2 1,6 3,1020.0,0.0,2024-06-05
1:00 am,8.6,7.6,92,E,2 1,7 4,1020.2,0.0,2024-06-05
12:30 am,8.8,7.9,92,SE,2 1,6 3,1020.3,0.0,2024-06-05
12:00 am,9.0,8.4,90,CALM,0 0,0 0,1020.4,0.0,2024-06-05
11:30 pm,9.2,8.6,88,CALM,0 0,0 0,1020.4,0.0,2024-06-04
11:00 pm,9.8,9.1,82,CALM,0 0,0 0,1020.4,0.0,2024-06-04
10:30 pm,10.2,9.4,79,CALM,0 0,0 0,1020.5,0.0,2024-06-04
10:00 pm,10.8,8.8,74,NNW,6 3,7 4,1020.6,0.0,2024-06-04
9:30 pm,10.6,8.4,74,N,7 4,11 6,1020.8,0.0,2024-06-04
9:00 pm,10.5,8.5,74,N,6 3,9 5,1020.7,0.0,2024-06-04
8:30 pm,10.3,7.7,75,NE,9 5,11 6,1020.2,0.0,2024-06-04
8:00 pm,9.3,8.5,82,CALM,0 0,0 0,1019.7,0.0,2024-06-04
7:30 pm,9.9,8.6,77,NNW,2 1,7 4,1019.4,0.0,2024-06-04
7:00 pm,10.0,9.1,77,CALM,0 0,6 3,1019.0,0.0,2024-06-04
6:30 pm,10.3,8.4,77,E,6 3,7 4,1018.7,0.0,2024-06-04
6:00 pm,11.1,10.1,69,CALM,0 0,0 0,1018.5,0.0,2024-06-04
5:30 pm,11.9,9.8,67,WSW,6 3,9 5,1018.0,0.0,2024-06-04
5:00 pm,12.6,10.1,59,NNW,7 4,11 6,1017.9,0.0,2024-06-04
4:30 pm,12.6,10.3,58,NNW,6 3,13 7,1017.7,0.0,2024-06-04
4:00 pm,12.6,11.5,61,CALM,0 0,0 0,1017.3,0.0,2024-06-04
3:30 pm,12.7,11.7,61,CALM,0 0,0 0,1017.3,0.0,2024-06-04
3:00 pm,12.8,10.6,60,S,6 3,7 4,1016.9,0.0,2024-06-04
2:30 pm,12.9,10.9,57,WSW,4 2,7 4,1016.9,0.0,2024-06-04
2:00 pm,12.9,9.6,57,NNW,11 6,17 9,1017.0,0.0,2024-06-04
1:30 pm,13.0,10.1,57,NNW,9 5,15 8,1017.1,0.0,2024-06-04
1:00 pm,12.8,9.9,58,NW,9 5,17 9,1017.0,0.0,2024-06-04
12:30 pm,12.9,10.0,57,NW,9 5,17 9,1017.2,0.0,2024-06-04
12:00 pm,12.8,10.3,57,WSW,7 4,13 7,1017.5,0.0,2024-06-04
11:30 am,13.0,10.4,56,WNW,7 4,17 9,1017.8,0.0,2024-06-04
11:00 am,13.1,10.2,56,WNW,9 5,17 9,1017.9,0.0,2024-06-04
10:30 am,12.2,9.8,62,NW,7 4,11 6,1018.1,0.0,2024-06-04
10:00 am,11.9,9.0,61,NW,9 5,11 6,1018.3,0.0,2024-06-04
9:30 am,11.9,9.7,63,NW,6 3,7 4,1017.8,0.0,2024-06-04
9:00 am,11.1,7.5,65,NNW,13 7,17 9,1018.0,0.0,2024-06-04
8:30 am,10.7,7.1,68,NW,13 7,20 11,1017.8,0.0,2024-06-04
8:00 am,10.6,6.7,69,NW,15 8,20 11,1017.5,0.0,2024-06-04
7:30 am,10.5,7.0,71,NW,13 7,19 10,1017.1,0.0,2024-06-04
7:00 am,10.0,8.4,78,NW,4 2,11 6,1016.5,0.0,2024-06-04
6:30 am,8.7,8.1,91,CALM,0 0,0 0,1016.4,0.0,2024-06-04
6:00 am,8.5,7.3,96,WNW,4 2,9 5,1016.1,0.0,2024-06-04
5:30 am,7.6,6.3,99,ESE,4 2,7 4,1016.0,0.0,2024-06-04
5:00 am,7.3,6.7,99,CALM,0 0,0 0,1015.9,0.0,2024-06-04
4:30 am,7.3,5.8,97,SE,4 2,6 3,1015.7,0.0,2024-06-04
4:00 am,7.5,6.8,96,CALM,0 0,0 0,1015.4,0.0,2024-06-04
3:30 am,7.7,6.9,91,CALM,0 0,6 3,1015.5,0.0,2024-06-04
3:00 am,8.7,7.9,85,CALM,0 0,7 4,1015.5,0.0,2024-06-04
2:30 am,9.8,7.6,79,NW,7 4,11 6,1015.7,0.0,2024-06-04
2:00 am,10.2,6.9,78,NW,13 7,19 10,1015.5,0.0,2024-06-04
1:30 am,8.3,7.5,88,CALM,0 0,2 1,1015.3,0.0,2024-06-04
1:00 am,9.1,8.3,83,CALM,0 0,2 1,1015.1,0.0,2024-06-04
12:30 am,10.1,8.1,77,NW,6 3,9 5,1015.1,0.0,2024-06-04
12:00 am,10.4,8.3,77,WNW,7 4,13 7,1015.1,0.0,2024-06-04
11:30 pm,10.9,8.8,74,W,7 4,11 6,1015.0,0.0,2024-06-03
11:00 pm,11.0,8.9,75,W,7 4,15 8,1015.1,0.0,2024-06-03
10:30 pm,11.1,8.6,74,W,9 5,15 8,1014.8,0.0,2024-06-03
10:00 pm,11.3,8.8,72,WSW,9 5,17 9,1014.9,0.0,2024-06-03
9:30 pm,11.6,9.4,70,W,7 4,15 8,1014.9,0.0,2024-06-03
9:00 pm,11.7,9.5,70,W,7 4,11 6,1014.9,0.0,2024-06-03
8:30 pm,11.9,9.9,69,WSW,6 3,11 6,1014.9,0.0,2024-06-03
8:00 pm,12.2,9.7,68,W,9 5,15 8,1014.9,0.0,2024-06-03
7:30 pm,12.4,10.0,69,W,9 5,17 9,1014.6,0.0,2024-06-03
7:00 pm,12.6,10.6,70,WSW,7 4,11 6,1014.2,0.0,2024-06-03
6:30 pm,12.5,10.7,70,SSW,6 3,13 7,1013.7,0.0,2024-06-03
6:00 pm,12.6,10.2,69,SSW,9 5,13 7,1013.4,0.0,2024-06-03
5:30 pm,12.6,10.7,68,SSW,6 3,15 8,1013.4,0.0,2024-06-03
5:00 pm,12.8,10.7,67,SSW,7 4,15 8,1013.0,0.0,2024-06-03
4:30 pm,12.9,10.9,67,S,7 4,19 10,1012.8,0.0,2024-06-03
4:00 pm,13.1,10.3,66,SSW,11 6,20 11,1013.1,0.0,2024-06-03
3:30 pm,13.2,10.8,66,SSW,9 5,15 8,1013.2,0.0,2024-06-03
3:00 pm,13.4,10.5,64,SSW,11 6,20 11,1012.9,0.0,2024-06-03
2:30 pm,14.3,11.9,61,SW,9 5,20 11,1012.9,0.0,2024-06-03
2:00 pm,13.8,11.4,64,SW,9 5,19 10,1013.0,0.0,2024-06-03
1:30 pm,13.2,10.8,67,SW,9 5,15 8,1013.3,0.0,2024-06-03
1:00 pm,13.4,10.6,65,SSW,11 6,19 10,1014.1,0.0,2024-06-03
12:30 pm,13.0,10.6,68,SW,9 5,20 11,1014.6,0.0,2024-06-03
12:00 pm,12.6,9.8,68,SSW,11 6,20 11,1015.0,0.0,2024-06-03
11:30 am,12.5,10.7,73,SW,7 4,13 7,1015.5,0.0,2024-06-03
11:00 am,12.2,10.6,79,SSW,7 4,13 7,1015.9,0.0,2024-06-03
10:30 am,11.4,9.9,82,WSW,6 3,11 6,1016.1,0.0,2024-06-03
10:00 am,10.4,9.7,88,W,2 1,7 4,1016.2,0.0,2024-06-03
9:30 am,9.9,9.1,90,NNE,2 1,9 5,1016.5,0.0,2024-06-03
9:00 am,9.6,8.0,89,SW,6 3,11 6,1016.5,0.8,2024-06-03
8:54 am,9.5,7.3,90,W,9 5,13 7,1016.6,0.8,2024-06-03
8:38 am,9.3,7.4,90,W,7 4,13 7,1016.6,0.6,2024-06-03
8:30 am,9.2,7.4,91,W,7 4,13 7,1016.6,0.6,2024-06-03
8:22 am,9.0,6.7,91,W,9 5,13 7,1016.7,0.6,2024-06-03
8:00 am,8.7,6.7,90,W,7 4,11 6,1016.9,0.6,2024-06-03
7:37 am,9.0,6.8,82,SW,7 4,15 8,1017.2,0.6,2024-06-03
7:30 am,9.2,7.1,80,SW,6 3,9 5,1017.2,0.6,2024-06-03
