Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,21.4,23.7,79,SE,2 1,4 2,1019.0,0.0,2023-02-21
11:00 pm,21.8,24.5,78,CALM,0 0,2 1,1019.0,0.0,2023-02-21
10:30 pm,22.0,24.4,78,SE,2 1,6 3,1019.2,0.0,2023-02-21
10:00 pm,22.1,24.2,78,SSE,4 2,4 2,1019.3,0.0,2023-02-21
9:30 pm,22.0,24.3,77,ESE,2 1,4 2,1019.4,0.0,2023-02-21
9:00 pm,22.6,24.9,74,E,2 1,4 2,1019.3,0.0,2023-02-21
8:30 pm,23.1,25.5,73,E,2 1,6 3,1019.4,0.0,2023-02-21
8:00 pm,23.2,25.8,70,CALM,0 0,4 2,1019.3,0.0,2023-02-21
7:30 pm,24.2,26.2,68,E,4 2,6 3,1019.0,0.0,2023-02-21
7:00 pm,24.6,26.3,67,E,6 3,13 7,1018.9,0.0,2023-02-21
6:30 pm,24.9,26.0,65,E,9 5,15 8,1018.7,0.0,2023-02-21
6:00 pm,25.5,26.0,61,E,11 6,19 10,1018.6,0.0,2023-02-21
5:30 pm,26.3,26.8,58,E,11 6,19 10,1018.3,0.0,2023-02-21
5:00 pm,26.6,26.6,60,E,15 8,24 13,1018.2,0.0,2023-02-21
4:30 pm,27.4,27.5,51,E,11 6,24 13,1018.2,0.0,2023-02-21
4:00 pm,27.5,28.1,55,E,11 6,24 13,1018.0,0.0,2023-02-21
3:30 pm,28.1,28.1,52,ENE,13 7,22 12,1018.0,0.0,2023-02-21
3:00 pm,28.2,28.0,50,E,13 7,22 12,1018.1,0.0,2023-02-21
2:30 pm,28.6,26.9,45,ENE,19 10,30 16,1018.1,0.0,2023-02-21
2:00 pm,28.7,27.9,43,E,13 7,26 14,1018.4,0.0,2023-02-21
1:30 pm,29.3,28.9,48,E,15 8,28 15,1018.5,0.0,2023-02-21
