Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:00 am,16.3,11.4,38,NNW,17 9,–,1009.0,0.0,2025-10-02
5:30 am,16.1,10.7,40,NNW,20 11,–,1009.0,0.0,2025-10-02
5:00 am,15.7,10.9,41,NNW,17 9,–,1008.9,0.0,2025-10-02
4:30 am,15.6,10.4,42,NNW,19 10,–,1008.8,0.0,2025-10-02
4:00 am,15.8,11.9,43,NNW,13 7,–,1008.6,0.0,2025-10-02
3:30 am,16.4,12.1,35,NNW,13 7,–,1008.4,0.0,2025-10-02
3:00 am,16.4,11.0,36,NNW,19 10,–,1008.7,0.0,2025-10-02
2:30 am,16.2,13.2,38,N,7 4,–,1008.9,0.0,2025-10-02
2:00 am,16.3,12.9,38,NNW,9 5,–,1009.2,0.0,2025-10-02
1:30 am,16.2,13.2,36,NW,6 3,–,1009.4,0.0,2025-10-02
1:00 am,16.7,13.4,39,W,9 5,–,1009.7,0.0,2025-10-02
12:30 am,16.7,14.1,44,W,7 4,–,1009.9,0.0,2025-10-02
12:00 am,17.2,14.4,39,WNW,7 4,–,1010.0,0.0,2025-10-02
